NCT Number,Phases_NCT,PMID
NCT03914443,Phase 1,32396014
NCT02983045,Phase 1|Phase 2,33298619
NCT02983045,Phase 1|Phase 2,32439653
NCT02960906,Phase 2,32620212
NCT03759184,Phase 1,32508818
NCT01042379,Phase 2,32053137
NCT00732615,Phase 3,32738041
NCT00732615,Phase 3,24622413
NCT00732615,Phase 3,29099947
NCT00172081,Phase 3,17339618
NCT01268098,Phase 3,28942334
NCT01268098,Phase 3,32738041
NCT01321723,Phase 2,23234813
NCT01321723,Phase 2,23719683
NCT00473265,Phase 2|Phase 3,29972871
NCT02910466,Phase 4,32738041
NCT02910466,Phase 4,31310310
NCT01297309,Phase 3,32738041
NCT01297309,Phase 3,31369089
NCT01371747,Phase 2,26172895
NCT01371747,Phase 2,29767459
NCT02603887,Early Phase 1,31405950
NCT02826564,Phase 1,28662677
NCT02626000,Phase 1,32669371
NCT02665650,Phase 1,32730586
NCT01295827,Phase 1,33360855
NCT01295827,Phase 1,32305010
NCT01295827,Phase 1,31395089
NCT01295827,Phase 1,30876831
NCT01295827,Phase 1,30736858
NCT01295827,Phase 1,30715153
NCT01295827,Phase 1,30202085
NCT01295827,Phase 1,29685882
NCT01295827,Phase 1,29283791
NCT01295827,Phase 1,28551359
NCT01295827,Phase 1,28168303
NCT01295827,Phase 1,27998967
NCT01295827,Phase 1,27863197
NCT01295827,Phase 1,27117531
NCT01295827,Phase 1,27092830
NCT01295827,Phase 1,26951310
NCT01295827,Phase 1,25891174
NCT01295827,Phase 1,25034862
NCT01295827,Phase 1,23724846
NCT01295827,Phase 1,31154919
NCT01295827,Phase 1,29486723
NCT02054806,Phase 1,32320048
NCT02054806,Phase 1,31870883
NCT02054806,Phase 1,30832606
NCT02054806,Phase 1,30557521
NCT02054806,Phase 1,29992241
NCT02054806,Phase 1,29559561
NCT02054806,Phase 1,29462123
NCT02054806,Phase 1,29284010
NCT02054806,Phase 1,29095678
NCT02054806,Phase 1,28837405
