NCT Number,Phases_NCT,PMID
NCT02402920,1_0,31605794
NCT04118868,1_0,33072126
NCT02324582,1_0,31320352
NCT02313272,1_0,32605050
NCT01953692,1_0,32556281
NCT01953692,1_0,31609651
NCT01953692,1_0,28490569
NCT01953692,1_0,27354476
NCT01953692,1_0,31395089
NCT01953692,1_0,30937889
NCT02443324,1_0,33068794
NCT02443324,1_0,31301962
NCT02443324,1_0,29853658
NCT02179918,1_0,28634283
NCT03003676,1_0,30713786
NCT02133742,1_0,29439857
NCT02133742,1_0,32816890
NCT02499835,2_0,30700328
NCT03444376,2_0,33271094
NCT02331251,2_0,29119276
NCT02089685,2_0,28729151
NCT02089685,2_0,29358500
NCT02089685,2_0,32605909
NCT02713529,2_0,33046621
NCT02348008,2_0,32097091
NCT02437136,2_0,33203644
NCT02538510,2_0,31796519
NCT02444741,2_0,33051340
NCT02444741,2_0,33096027
NCT02888665,2_0,32910151
NCT02657889,2_0,32193378
NCT02657889,2_0,31194228
NCT02657889,2_0,31194225
NCT02843204,2_0,32027620
NCT02689284,2_0,32653053
NCT02129556,2_0,30765258
NCT02521870,2_0,30154193
NCT02130466,2_0,31171879
NCT02130466,2_0,31171878
NCT02332668,2_0,31812554
NCT02039674,2_0,33069888
NCT02039674,2_0,32914866
NCT02039674,2_0,30529597
NCT02039674,2_0,30429032
NCT02039674,2_0,30138764
NCT02039674,2_0,27745820
NCT03278665,2_0,31703604
NCT02289222,2_0,28461396
NCT02500121,2_0,32271672
NCT03157089,2_0,30808583
NCT02644369,2_0,33554038
NCT03192059,2_0,31138229
NCT02883556,2_0,32730186
NCT01704287,2_0,28961465
NCT01704287,2_0,27596353
NCT01704287,2_0,26115796
NCT01704287,2_0,33360855
NCT01704287,2_0,32305010
NCT01704287,2_0,31395089
NCT01704287,2_0,30736858
NCT01704287,2_0,30202085
NCT02447003,2_0,30475950
NCT02447003,2_0,30475947
NCT02447003,2_0,27138582
NCT02559687,2_0,30570649
NCT02576990,2_0,31609651
NCT02453594,2_0,31409671
NCT02453594,2_0,31012356
NCT02453594,2_0,28441111
NCT02453594,2_0,31395089
NCT02787005,2_0,31774688
NCT02335424,2_0,32423837
NCT02335424,2_0,28967485
NCT02335424,2_0,32552471
NCT02335424,2_0,31395089
NCT02628067,2_0,32919526
NCT02628067,2_0,32359091
NCT02628067,2_0,31980466
NCT02628067,2_0,30943124
NCT02628067,2_0,31682550
NCT03284424,2_0,32673170
NCT02460198,2_0,31725351
NCT02460198,2_0,31395089
NCT02702414,2_0,29875066
NCT03382899,2_0,33166722
NCT01876511,2_0,31439614
NCT01876511,2_0,26028255
NCT02255097,2_0,31395089
NCT03515798,2_0,33330051
NCT02826486,2_0,32451495
NCT02673333,2_0,31644329
NCT02301039,2_0,30249211
NCT02301039,2_0,28988646
NCT03382600,2_0,32145474
NCT02395627,2_0,32681091
NCT04435197,2_0,33373868
NCT02954536,2_0,32487035
NCT02954536,2_0,32437664
NCT02316002,2_0,31294762
NCT02331368,2_0,30959163
NCT03087019,2_0,32781104
NCT02243579,2_0,31532724
NCT02721732,2_0,33427689
NCT02721732,2_0,32534809
NCT02721732,2_0,32303619
NCT02721732,2_0,32188704
NCT02721732,2_0,31533818
NCT02721732,2_0,31532833
NCT02312557,2_0,32616555
NCT02879994,2_0,29874546
NCT02359851,2_0,30787124
NCT02267603,2_0,32272501
NCT02267603,2_0,27093365
NCT02267603,2_0,30726175
NCT02767934,2_0,32692850
NCT02499952,2_0,29045540
NCT02733159,2_0,32199466
NCT03345134,2_0,31796469
NCT02886585,2_0,32483359
NCT02865811,2_0,32771276
NCT03464734,2_0,32979512
NCT02364076,2_0,29395863
NCT03044730,2_0,32060053
NCT02332980,2_0,28424162
NCT02492568,2_0,33096027
NCT02492568,2_0,31294749
NCT02362997,2_0,31917843
NCT02362997,2_0,30952672
NCT02609503,2_0,32371539
NCT02636010,2_0,33287189
NCT02736266,2_0,33071107
NCT02736266,2_0,32979511
NCT02736266,2_0,32847746
NCT02736266,2_0,32605888
NCT02736266,2_0,32165065
NCT02736266,2_0,31708296
NCT02736266,2_0,31882281
NCT02736266,2_0,30811283
NCT02736266,2_0,30343614
NCT03197467,2_0,31046714
NCT02085070,2_0,32251621
NCT02085070,2_0,31479702
NCT02085070,2_0,30407895
NCT02085070,2_0,28275886
NCT02085070,2_0,27267608
NCT02574598,2_0,32271354
NCT02296684,2_0,32665297
NCT02697630,2_0,31046743
NCT02674061,2_0,32012411
NCT02674061,2_0,31046082
NCT02406781,2_0,31442817
NCT02406781,2_0,28662235
NCT04430699,2_0,32928237
NCT02636725,2_0,31395100
NCT02636725,2_0,31078463
NCT02362048,2_0,32114502
NCT03385226,2_0,33072126
NCT03069378,2_0,31971541
NCT02939651,2_0,32152503
NCT02607631,2_0,32076579
NCT02607631,2_0,30647082
NCT02335411,2_0,30911859
NCT02335411,2_0,29543932
NCT03051659,2_0,32880602
NCT01905657,3_0,31446994
NCT01905657,3_0,30711649
NCT01905657,3_0,30657853
NCT01905657,3_0,26712084
NCT01905657,3_0,32305010
NCT01905657,3_0,32078391
NCT01905657,3_0,31395089
NCT01866319,3_0,31345627
NCT01866319,3_0,30096704
NCT01866319,3_0,28987768
NCT01866319,3_0,28822576
NCT01866319,3_0,25891173
NCT01866319,3_0,33360855
NCT01866319,3_0,32305010
NCT01866319,3_0,31395089
NCT01866319,3_0,30736858
NCT01866319,3_0,30202085
NCT02853331,3_0,33284113
NCT02853331,3_0,30779529
NCT02853331,3_0,29439857
NCT02576977,3_0,33086159
NCT02576977,3_0,31327687
NCT02578680,3_0,32150489
NCT02578680,3_0,32035514
NCT02578680,3_0,29658856
NCT02702401,3_0,33231873
NCT02563002,3_0,33264544
NCT03850444,3_0,33231285
NCT02220894,3_0,33231285
NCT02220894,3_0,31610828
NCT02220894,3_0,30955977
NCT02362594,3_0,32418051
NCT02362594,3_0,31895407
NCT02362594,3_0,31012765
NCT02362594,3_0,29658430
NCT02362594,3_0,32946353
NCT02362594,3_0,31395089
NCT02564263,3_0,33026938
NCT02819518,3_0,33278935
NCT03036488,3_0,32101663
NCT03221426,3_0,30777447
NCT03040999,3_0,32490686
NCT02142738,3_0,32926507
NCT02142738,3_0,31880807
NCT02142738,3_0,29129441
NCT02142738,3_0,27718847
NCT02142738,3_0,32305010
NCT02142738,3_0,31395089
NCT02494583,3_0,32880601
NCT02579863,3_0,31327689
NCT03553836,3_0,31870188
NCT03615326,3_0,33167735
NCT02252042,3_0,33371020
NCT02252042,3_0,33239737
NCT02252042,3_0,30509740
NCT02252042,3_0,30944020
NCT03189719,3_0,30735435
NCT03711032,3_0,32162533
NCT04194944,3_0,33150799
NCT02256436,3_0,31729625
NCT02256436,3_0,31050707
NCT02256436,3_0,29590008
NCT02256436,3_0,28212060
NCT02256436,3_0,31395089
NCT02256436,3_0,29562804
NCT02370498,3_0,29880231
NCT03066778,3_0,32468956
NCT02358031,3_0,31679945
NCT02775435,3_0,32599071
NCT02775435,3_0,30280635
NCT02775435,3_0,31751163
NCT02752074,3_0,31221619
NCT00744042,2_0,22397652
NCT00287716,3_0,31047956
NCT00287729,3_0,31047956
NCT01366209,3_0,31047956
NCT01913639,2_0,31570517
NCT01516814,3_0,25851062
NCT01516814,3_0,25717286
NCT01516840,3_0,25717286
NCT01516840,3_0,25851062
NCT00571649,3_0,31975354
NCT00571649,3_0,24970782
NCT00571649,3_0,24460645
NCT00571649,3_0,23388003
NCT00571649,3_0,28762617
NCT01923818,3_0,26458895
NCT03764241,3_0,32355836
NCT03506815,3_0,30046762
NCT04059679,4_0,32129681
NCT01499953,3_0,33368114
NCT01499953,3_0,28219692
NCT01499953,3_0,26973347
NCT01431456,3_0,23355673
NCT03363035,4_0,32965585
NCT03566303,3_0,33150497
NCT03566303,3_0,30293126
NCT02042534,2_0,28892526
NCT02042534,2_0,25346499
NCT03282643,2_0,30903459
NCT02313909,3_0,32640945
NCT02313909,3_0,32628266
NCT02313909,3_0,32517582
NCT02313909,3_0,32295509
NCT02313909,3_0,32056346
NCT02313909,3_0,31526123
NCT02313909,3_0,31401971
NCT02313909,3_0,29766772
NCT01145859,1_0,30534008
NCT01145859,1_0,30534007
NCT01145859,1_0,23912563
NCT03055026,3_0,31818628
NCT02157272,3_0,30002145
NCT02334254,4_0,26003433
NCT00402597,2_0,21570509
NCT00402597,2_0,19539361
NCT03796377,1_0,32959922
NCT02303795,2_0,33196155
NCT02303795,2_0,33045224
NCT02564718,2_0,31420317
NCT01989845,4_0,29788694
NCT01776424,3_0,32951537
NCT01776424,3_0,32651298
NCT01776424,3_0,32436455
NCT01776424,3_0,32223318
NCT01776424,3_0,32178526
NCT01776424,3_0,31537259
NCT01776424,3_0,31524941
NCT01776424,3_0,31510769
NCT01776424,3_0,31163978
NCT01776424,3_0,31152740
NCT01776424,3_0,31054846
NCT01776424,3_0,30667279
NCT01776424,3_0,30654882
NCT01776424,3_0,30417662
NCT01776424,3_0,29540326
NCT01776424,3_0,29132880
NCT01776424,3_0,29132879
NCT01776424,3_0,28844192
NCT04067505,3_0,32993773
NCT02486445,3_0,32502267
NCT02116036,4_0,32346486
NCT00329628,3_0,18579811
NCT01478282,4_0,26364029
NCT00332020,3_0,18582928
NCT00361894,3_0,18579812
NCT00362232,3_0,19411100
NCT02064439,3_0,28316279
NCT02064439,3_0,25994838
NCT02401594,3_0,32223113
NCT02544932,3_0,27558002
NCT03578146,2_0,32092140
NCT01627665,3_0,33369212
NCT01627665,3_0,31215111
NCT00439777,3_0,25698905
NCT00439777,3_0,24341332
NCT00439777,3_0,24053656
NCT00439777,3_0,22449293
NCT00439777,3_0,30121419
NCT00439777,3_0,27535349
NCT00439777,3_0,27030066
NCT00439777,3_0,25750589
NCT00439777,3_0,22371186
NCT00440193,3_0,32737096
NCT00440193,3_0,30121419
NCT00440193,3_0,27030066
NCT00440193,3_0,25750589
NCT00440193,3_0,21128814
NCT00440193,3_0,27535349
NCT00440193,3_0,25698905
NCT00440193,3_0,24341332
NCT00440193,3_0,24053656
NCT02168829,4_0,29447772
NCT00395772,2_0,18621928
NCT00439725,3_0,27262225
NCT00439725,3_0,25698905
NCT00439725,3_0,21128814
NCT02832544,3_0,32474206
NCT02556203,3_0,31733180
NCT02556203,3_0,27892890
NCT01720108,3_0,29466159
NCT01839357,3_0,25819852
NCT01674647,3_0,25182247
NCT02234843,3_0,33351120
NCT02234843,3_0,33002131
NCT02234843,3_0,31699660
NCT02234843,3_0,30598642
NCT02234843,3_0,31420317
NCT02309411,2_0,31420317
NCT01629381,2_0,27075710
NCT02504216,3_0,33138628
NCT02504216,3_0,32222135
NCT02504216,3_0,29754671
